타임스탬프,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
9/6/2000 12:00,최힝칠,1111-11350,1학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
9/7/2000 12:00,최슨등,1111-11351,2학년,법오 작은방(평상),법오 큰방(평상),국산(칸막이)
9/8/2000 12:00,강초답,1111-11352,2학년,법오 골방(칸막이),국산(칸막이),15동 401호(칸막이)
9/9/2000 12:00,이늘름,1111-11353,3학년,법오 큰방(칸막이),서암(평상),15동 404호(칸막이)
9/10/2000 12:00,최넌븜,1111-11354,1학년,법오 큰방(칸막이),국산(칸막이),서암(평상)
9/11/2000 12:00,문공름,1111-11355,3학년,서암(평상),국산(칸막이),15동 404호(칸막이)
9/12/2000 12:00,최랑승,1111-11356,3학년,법오 큰방(칸막이),법오 골방(칸막이),15동 404호(칸막이)
9/13/2000 12:00,양늘안,1111-11357,3학년,15동 404호(칸막이),법오 골방(칸막이),15동 404호(칸막이)
9/14/2000 12:00,최듬랍,1111-11358,3학년,국산(칸막이),15동 401호(칸막이),국산(칸막이)
9/15/2000 12:00,한러딕,1111-11359,2학년,법오 큰방(칸막이),15동 401호(칸막이),법오 골방(칸막이)
9/16/2000 12:00,김펄딜,1111-11360,3학년,법오 큰방(평상),법오 작은방(평상),15동 401호(칸막이)
9/17/2000 12:00,최털헝,1111-11361,3학년,국산(칸막이),법오 골방(칸막이),15동 401호(칸막이)
9/18/2000 12:00,강포각,1111-11362,3학년,국산(칸막이),15동 401호(칸막이),법오 큰방(평상)
9/19/2000 12:00,박삭산,1111-11363,1학년,법오 골방(칸막이),법오 작은방(평상),서암(평상)
9/20/2000 12:00,박널캄,1111-11364,1학년,법오 큰방(칸막이),법오 골방(칸막이),15동 401호(칸막이)
9/21/2000 12:00,이누멍,1111-11365,2학년,법오 작은방(평상),법오 골방(칸막이),법오 큰방(칸막이)
9/22/2000 12:00,양는을,1111-11366,2학년,법오 큰방(평상),법오 작은방(평상),15동 404호(칸막이)
9/23/2000 12:00,이망모,1111-11367,1학년,15동 401호(칸막이),법오 큰방(평상),15동 404호(칸막이)
9/24/2000 12:00,한버논,1111-11368,3학년,국산(칸막이),법오 큰방(평상),15동 401호(칸막이)
9/25/2000 12:00,박펀낙,1111-11369,2학년,법오 큰방(평상),법오 작은방(평상),법오 큰방(칸막이)
9/26/2000 12:00,한찰른,1111-11370,2학년,법오 큰방(칸막이),법오 작은방(평상),15동 401호(칸막이)
9/27/2000 12:00,문덩클,1111-11371,1학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(평상)
9/28/2000 12:00,김응긍,1111-11372,3학년,15동 401호(칸막이),15동 401호(칸막이),15동 404호(칸막이)
9/29/2000 12:00,문할성,1111-11373,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 골방(칸막이)
9/30/2000 12:00,한조틈,1111-11374,2학년,국산(칸막이),15동 404호(칸막이),15동 401호(칸막이)
10/1/2000 12:00,양랄근,1111-11375,2학년,국산(칸막이),법오 큰방(평상),법오 큰방(평상)
10/2/2000 12:00,김펑잉,1111-11376,1학년,15동 401호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
10/3/2000 12:00,문걱벅,1111-11377,3학년,국산(칸막이),법오 큰방(칸막이),법오 큰방(평상)
10/4/2000 12:00,박석한,1111-11378,2학년,법오 큰방(평상),국산(칸막이),15동 401호(칸막이)
10/5/2000 12:00,한밥폰,1111-11379,1학년,국산(칸막이),국산(칸막이),15동 401호(칸막이)
10/6/2000 12:00,최루당,1111-11380,1학년,법오 큰방(평상),국산(칸막이),법오 큰방(평상)
10/7/2000 12:00,한주한,1111-11381,1학년,15동 404호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
10/8/2000 12:00,강컬날,1111-11382,수료생,법오 작은방(평상),법오 큰방(평상),법오 큰방(평상)
10/9/2000 12:00,최런로,1111-11383,1학년,국산(칸막이),15동 404호(칸막이),15동 404호(칸막이)
10/10/2000 12:00,박판진,1111-11384,1학년,법오 골방(칸막이),국산(칸막이),서암(평상)
10/11/2000 12:00,양즉닷,1111-11385,3학년,법오 큰방(평상),법오 골방(칸막이),법오 골방(칸막이)
10/12/2000 12:00,문논탁,1111-11386,1학년,법오 큰방(평상),법오 골방(칸막이),법오 작은방(평상)
10/13/2000 12:00,문을른,1111-11387,1학년,서암(평상),법오 큰방(칸막이),법오 골방(칸막이)
10/14/2000 12:00,박클답,1111-11388,2학년,법오 큰방(칸막이),법오 큰방(칸막이),법오 골방(칸막이)
10/15/2000 12:00,박억갓,1111-11389,2학년,15동 401호(칸막이),국산(칸막이),법오 큰방(칸막이)
10/16/2000 12:00,김익억,1111-11390,1학년,서암(평상),법오 큰방(칸막이),15동 401호(칸막이)
10/17/2000 12:00,김방우,1111-11391,1학년,법오 큰방(칸막이),서암(평상),국산(칸막이)
10/18/2000 12:00,한창어,1111-11392,1학년,법오 작은방(평상),법오 큰방(칸막이),법오 큰방(칸막이)
10/19/2000 12:00,김벌석,1111-11393,1학년,법오 큰방(칸막이),법오 큰방(평상),15동 401호(칸막이)
10/20/2000 12:00,한벙수,1111-11394,3학년,15동 401호(칸막이),15동 401호(칸막이),서암(평상)
10/21/2000 12:00,이카캇,1111-11395,2학년,15동 401호(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
10/22/2000 12:00,양징일,1111-11396,1학년,서암(평상),서암(평상),국산(칸막이)
10/23/2000 12:00,최벌길,1111-11397,1학년,국산(칸막이),법오 골방(칸막이),서암(평상)
10/24/2000 12:00,최잡컹,1111-11398,1학년,법오 큰방(평상),15동 404호(칸막이),서암(평상)
10/25/2000 12:00,문도니,1111-11399,2학년,법오 작은방(평상),15동 401호(칸막이),서암(평상)
10/26/2000 12:00,강헝망,1111-11400,2학년,서암(평상),15동 404호(칸막이),법오 작은방(평상)
10/27/2000 12:00,박릉등,1111-11401,2학년,법오 큰방(평상),법오 큰방(평상),법오 작은방(평상)
10/28/2000 12:00,김몽난,1111-11402,1학년,법오 작은방(평상),법오 큰방(칸막이),법오 작은방(평상)
10/29/2000 12:00,박닝팟,1111-11403,3학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(평상)
10/30/2000 12:00,김도투,1111-11404,2학년,15동 404호(칸막이),서암(평상),국산(칸막이)
10/31/2000 12:00,최렁번,1111-11405,1학년,서암(평상),서암(평상),법오 큰방(평상)
11/1/2000 12:00,최닷논,1111-11406,1학년,15동 404호(칸막이),법오 큰방(평상),법오 작은방(평상)
11/2/2000 12:00,양빈픽,1111-11407,1학년,법오 큰방(평상),법오 큰방(칸막이),15동 401호(칸막이)
11/3/2000 12:00,박삭억,1111-11408,1학년,법오 작은방(평상),법오 큰방(칸막이),국산(칸막이)
11/4/2000 12:00,양킨노,1111-11409,1학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
11/5/2000 12:00,양마걱,1111-11410,1학년,국산(칸막이),법오 골방(칸막이),15동 401호(칸막이)
11/6/2000 12:00,박몽딩,1111-11411,2학년,법오 큰방(칸막이),15동 401호(칸막이),15동 404호(칸막이)
11/7/2000 12:00,김히본,1111-11412,1학년,법오 큰방(평상),법오 골방(칸막이),국산(칸막이)
11/8/2000 12:00,김넉진,1111-11413,1학년,법오 큰방(칸막이),법오 작은방(평상),법오 작은방(평상)
11/9/2000 12:00,한닝틈,1111-11414,2학년,국산(칸막이),법오 골방(칸막이),서암(평상)
11/10/2000 12:00,박서랍,1111-11415,2학년,서암(평상),법오 큰방(평상),15동 401호(칸막이)
11/11/2000 12:00,최너반,1111-11416,1학년,서암(평상),법오 골방(칸막이),국산(칸막이)
11/12/2000 12:00,박밍캉,1111-11417,2학년,서암(평상),15동 401호(칸막이),법오 골방(칸막이)
11/13/2000 12:00,이참란,1111-11418,2학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
11/14/2000 12:00,박듬푸,1111-11419,3학년,15동 404호(칸막이),서암(평상),법오 큰방(평상)
11/15/2000 12:00,한측산,1111-11420,1학년,법오 골방(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
11/16/2000 12:00,양슨박,1111-11421,1학년,법오 큰방(평상),법오 작은방(평상),서암(평상)
11/17/2000 12:00,김믄맘,1111-11422,1학년,법오 큰방(평상),서암(평상),서암(평상)
11/18/2000 12:00,이번론,1111-11423,1학년,법오 큰방(칸막이),서암(평상),15동 404호(칸막이)
11/19/2000 12:00,문공가,1111-11424,1학년,법오 작은방(평상),국산(칸막이),법오 큰방(평상)
11/20/2000 12:00,강잉틍,1111-11425,3학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(칸막이)
11/21/2000 12:00,문펄텅,1111-11426,3학년,15동 404호(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
11/22/2000 12:00,강종흑,1111-11427,2학년,법오 큰방(칸막이),법오 큰방(평상),법오 큰방(평상)
11/23/2000 12:00,최암루,1111-11428,3학년,국산(칸막이),법오 골방(칸막이),15동 401호(칸막이)
11/24/2000 12:00,문흠벙,1111-11429,1학년,국산(칸막이),법오 큰방(칸막이),법오 작은방(평상)
11/25/2000 12:00,양삼항,1111-11430,1학년,법오 큰방(칸막이),국산(칸막이),15동 401호(칸막이)
11/26/2000 12:00,김픈팟,1111-11431,3학년,법오 큰방(칸막이),서암(평상),법오 작은방(평상)
11/27/2000 12:00,최긍신,1111-11432,2학년,법오 큰방(칸막이),서암(평상),15동 404호(칸막이)
11/28/2000 12:00,최밥합,1111-11433,3학년,법오 작은방(평상),법오 큰방(평상),법오 골방(칸막이)
11/29/2000 12:00,김판핀,1111-11434,3학년,법오 큰방(평상),법오 작은방(평상),국산(칸막이)
11/30/2000 12:00,양튼선,1111-11435,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(칸막이)
12/1/2000 12:00,이밥킬,1111-11436,2학년,법오 큰방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
12/2/2000 12:00,한핀겅,1111-11437,3학년,서암(평상),15동 401호(칸막이),15동 401호(칸막이)
12/3/2000 12:00,이적타,1111-11438,3학년,15동 401호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
12/4/2000 12:00,문딩막,1111-11439,2학년,법오 작은방(평상),법오 큰방(평상),국산(칸막이)
12/5/2000 12:00,최킬알,1111-11440,2학년,국산(칸막이),법오 큰방(칸막이),법오 작은방(평상)
12/6/2000 12:00,문비처,1111-11441,1학년,15동 404호(칸막이),서암(평상),법오 큰방(평상)
12/7/2000 12:00,양안필,1111-11442,1학년,15동 404호(칸막이),서암(평상),법오 큰방(평상)
12/8/2000 12:00,박슥홍,1111-11443,1학년,법오 큰방(칸막이),서암(평상),법오 골방(칸막이)
12/9/2000 12:00,최킁람,1111-11444,3학년,법오 큰방(평상),법오 큰방(평상),국산(칸막이)
12/10/2000 12:00,양남픽,1111-11445,3학년,법오 큰방(평상),15동 404호(칸막이),15동 404호(칸막이)
12/11/2000 12:00,박킹지,1111-11446,1학년,법오 큰방(평상),15동 401호(칸막이),국산(칸막이)
12/12/2000 12:00,이능선,1111-11447,1학년,법오 큰방(평상),국산(칸막이),15동 404호(칸막이)
12/13/2000 12:00,최츰빌,1111-11448,1학년,15동 401호(칸막이),법오 큰방(평상),법오 골방(칸막이)
12/14/2000 12:00,양든암,1111-11449,3학년,법오 큰방(칸막이),국산(칸막이),국산(칸막이)
12/15/2000 12:00,이탓작,1111-11450,2학년,15동 401호(칸막이),법오 골방(칸막이),15동 404호(칸막이)
12/16/2000 12:00,문질착,1111-11451,1학년,15동 404호(칸막이),서암(평상),법오 큰방(칸막이)
12/17/2000 12:00,한큰엉,1111-11452,1학년,법오 작은방(평상),법오 작은방(평상),법오 큰방(평상)
12/18/2000 12:00,박동홍,1111-11453,3학년,법오 큰방(평상),법오 큰방(평상),법오 골방(칸막이)
12/19/2000 12:00,이카득,1111-11454,3학년,법오 작은방(평상),15동 404호(칸막이),법오 골방(칸막이)
12/20/2000 12:00,이얼음,1111-11455,2학년,법오 큰방(평상),15동 404호(칸막이),15동 404호(칸막이)
12/21/2000 12:00,이를칵,1111-11456,3학년,15동 404호(칸막이),법오 골방(칸막이),서암(평상)
12/22/2000 12:00,강탕틍,1111-11457,1학년,15동 401호(칸막이),법오 큰방(평상),법오 큰방(평상)
12/23/2000 12:00,최치기,1111-11458,1학년,국산(칸막이),15동 404호(칸막이),법오 골방(칸막이)
12/24/2000 12:00,최츨흥,1111-11459,3학년,서암(평상),법오 작은방(평상),법오 큰방(칸막이)
12/25/2000 12:00,최흠진,1111-11460,1학년,국산(칸막이),법오 큰방(칸막이),법오 작은방(평상)
12/26/2000 12:00,가공업,1111-11461,1학년,서암(평상),법오 큰방(칸막이),법오 큰방(평상)
12/27/2000 12:00,가랑비,1111-11462,1학년,국산(칸막이),서암(평상),15동 404호(칸막이)
12/28/2000 12:00,가래떡,1111-11463,2학년,법오 작은방(평상),15동 404호(칸막이),15동 404호(칸막이)
12/29/2000 12:00,가로등,1111-11464,3학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(평상)
12/30/2000 12:00,가로수,1111-11465,3학년,15동 404호(칸막이),서암(평상),법오 골방(칸막이)
12/31/2000 12:00,가솔린,1111-11466,2학년,법오 골방(칸막이),법오 골방(칸막이),서암(평상)
1/1/2001 12:00,가우스,1111-11467,2학년,법오 큰방(평상),서암(평상),국산(칸막이)
1/2/2001 12:00,가이아,1111-11468,3학년,법오 큰방(평상),법오 골방(칸막이),법오 큰방(평상)
1/3/2001 12:00,가정부,1111-11469,2학년,15동 401호(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/4/2001 12:00,가타카,1111-11470,1학년,법오 골방(칸막이),15동 401호(칸막이),국산(칸막이)
1/5/2001 12:00,각설탕,1111-11471,2학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(평상)
1/6/2001 12:00,간접적,1111-11472,2학년,법오 큰방(평상),법오 작은방(평상),15동 404호(칸막이)
1/7/2001 12:00,간지남,1111-11473,2학년,법오 골방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
1/8/2001 12:00,갈매기,1111-11474,3학년,15동 404호(칸막이),서암(평상),국산(칸막이)
1/9/2001 12:00,갈무리,1111-11475,1학년,국산(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
1/10/2001 12:00,감자깡,1111-11476,1학년,법오 큰방(칸막이),15동 401호(칸막이),15동 404호(칸막이)
1/11/2001 12:00,감자탕,1111-11477,2학년,15동 401호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/12/2001 12:00,갑돌이,1111-11478,1학년,15동 404호(칸막이),서암(평상),법오 골방(칸막이)
1/13/2001 12:00,강아지,1111-11479,1학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(평상)
1/14/2001 12:00,강원도,1111-11480,3학년,법오 큰방(평상),법오 큰방(평상),15동 401호(칸막이)
1/15/2001 12:00,개공식,1111-11481,1학년,법오 큰방(칸막이),법오 골방(칸막이),법오 작은방(평상)
1/16/2001 12:00,개교식,1111-11482,3학년,법오 골방(칸막이),법오 작은방(평상),서암(평상)
1/17/2001 12:00,개구리,1111-11483,2학년,법오 큰방(평상),법오 작은방(평상),법오 골방(칸막이)
1/18/2001 12:00,개기식,1111-11484,2학년,법오 작은방(평상),국산(칸막이),15동 401호(칸막이)
1/19/2001 12:00,개나리,1111-11485,2학년,법오 큰방(평상),법오 골방(칸막이),법오 큰방(칸막이)
1/20/2001 12:00,개막식,1111-11486,2학년,법오 큰방(평상),법오 큰방(평상),법오 작은방(평상)
1/21/2001 12:00,개선문,1111-11487,1학년,15동 401호(칸막이),법오 골방(칸막이),법오 골방(칸막이)
1/22/2001 12:00,개업식,1111-11488,1학년,서암(평상),법오 큰방(평상),법오 큰방(평상)
1/23/2001 12:00,개통식,1111-11489,1학년,서암(평상),법오 큰방(평상),법오 골방(칸막이)
1/24/2001 12:00,개폭딜,1111-11490,1학년,법오 큰방(평상),국산(칸막이),법오 작은방(평상)
1/25/2001 12:00,개학식,1111-11491,2학년,법오 작은방(평상),법오 큰방(칸막이),법오 큰방(평상)
1/26/2001 12:00,개항식,1111-11492,2학년,국산(칸막이),법오 골방(칸막이),서암(평상)
1/27/2001 12:00,개회식,1111-11493,1학년,15동 401호(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/28/2001 12:00,객관성,1111-11494,1학년,법오 작은방(평상),법오 큰방(칸막이),서암(평상)
1/29/2001 12:00,갤럭시,1111-11495,2학년,15동 401호(칸막이),국산(칸막이),국산(칸막이)
1/30/2001 12:00,거북이,1111-11496,3학년,15동 404호(칸막이),15동 404호(칸막이),국산(칸막이)
1/31/2001 12:00,거짓말,1111-11497,3학년,법오 작은방(평상),국산(칸막이),법오 골방(칸막이)
2/1/2001 12:00,검딱지,1111-11498,3학년,법오 골방(칸막이),15동 401호(칸막이),법오 큰방(평상)
2/2/2001 12:00,검은깨,1111-11499,1학년,국산(칸막이),15동 401호(칸막이),법오 골방(칸막이)
2/3/2001 12:00,게보린,1111-11500,3학년,법오 작은방(평상),서암(평상),15동 404호(칸막이)
2/4/2001 12:00,격투기,1111-11501,1학년,법오 큰방(칸막이),법오 골방(칸막이),법오 골방(칸막이)
2/5/2001 12:00,경외심,1111-11502,1학년,15동 401호(칸막이),법오 골방(칸막이),15동 404호(칸막이)
2/6/2001 12:00,계웅삼,1111-11503,1학년,서암(평상),법오 골방(칸막이),15동 404호(칸막이)
2/7/2001 12:00,고감도,1111-11504,1학년,15동 404호(칸막이),국산(칸막이),법오 골방(칸막이)
2/8/2001 12:00,고구려,1111-11505,2학년,국산(칸막이),법오 작은방(평상),법오 큰방(칸막이)
2/9/2001 12:00,고구마,1111-11506,2학년,법오 골방(칸막이),15동 404호(칸막이),국산(칸막이)
2/10/2001 12:00,고로쇠,1111-11507,1학년,15동 404호(칸막이),법오 작은방(평상),서암(평상)
2/11/2001 12:00,고무줄,1111-11508,1학년,국산(칸막이),법오 골방(칸막이),법오 큰방(평상)
2/12/2001 12:00,고블린,1111-11509,3학년,국산(칸막이),국산(칸막이),법오 큰방(평상)
2/13/2001 12:00,고사리,1111-11510,1학년,법오 작은방(평상),15동 404호(칸막이),15동 401호(칸막이)
2/14/2001 12:00,고스트,1111-11511,2학년,법오 작은방(평상),국산(칸막이),법오 큰방(평상)
2/15/2001 12:00,고양이,1111-11512,1학년,법오 작은방(평상),법오 큰방(평상),법오 큰방(칸막이)
2/16/2001 12:00,고전적,1111-11513,1학년,법오 작은방(평상),15동 401호(칸막이),15동 401호(칸막이)
2/17/2001 12:00,고추장,1111-11514,1학년,법오 큰방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
2/18/2001 12:00,고혹자,1111-11515,1학년,서암(평상),국산(칸막이),법오 큰방(칸막이)
2/19/2001 12:00,골드런,1111-11516,1학년,법오 큰방(칸막이),법오 골방(칸막이),15동 404호(칸막이)
2/20/2001 12:00,골짜기,1111-11517,1학년,법오 큰방(칸막이),15동 401호(칸막이),15동 401호(칸막이)
2/21/2001 12:00,곰도리,1111-11518,1학년,법오 큰방(칸막이),법오 큰방(평상),서암(평상)
2/22/2001 12:00,곰돌이,1111-11519,1학년,법오 큰방(칸막이),법오 골방(칸막이),법오 작은방(평상)
2/23/2001 12:00,곰탱이,1111-11520,1학년,법오 골방(칸막이),법오 골방(칸막이),법오 큰방(평상)
2/24/2001 12:00,공간적,1111-11521,3학년,서암(평상),15동 401호(칸막이),국산(칸막이)
2/25/2001 12:00,공격대,1111-11522,1학년,국산(칸막이),법오 골방(칸막이),15동 401호(칸막이)
2/26/2001 12:00,공격력,1111-11523,3학년,국산(칸막이),법오 골방(칸막이),15동 404호(칸막이)
2/27/2001 12:00,공무원,1111-11524,2학년,서암(평상),15동 404호(칸막이),법오 큰방(평상)
2/28/2001 12:00,공업가,1111-11525,1학년,15동 401호(칸막이),법오 큰방(칸막이),국산(칸막이)
3/1/2001 12:00,과수원,1111-11526,1학년,서암(평상),법오 작은방(평상),법오 큰방(칸막이)
3/2/2001 12:00,구구단,1111-11527,1학년,법오 큰방(평상),법오 골방(칸막이),법오 골방(칸막이)
3/3/2001 12:00,구궁도,1111-11528,1학년,서암(평상),15동 401호(칸막이),서암(평상)
3/4/2001 12:00,구렁이,1111-11529,1학년,법오 골방(칸막이),법오 작은방(평상),서암(평상)
3/5/2001 12:00,구마적,1111-11530,1학년,법오 작은방(평상),법오 작은방(평상),법오 큰방(평상)
3/6/2001 12:00,구미호,1111-11531,3학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(칸막이)
3/7/2001 12:00,구심점,1111-11532,3학년,법오 골방(칸막이),15동 401호(칸막이),법오 작은방(평상)
3/8/2001 12:00,구체적,1111-11533,1학년,서암(평상),법오 큰방(평상),15동 401호(칸막이)
3/9/2001 12:00,국사책,1111-11534,1학년,15동 404호(칸막이),법오 큰방(평상),법오 작은방(평상)
3/10/2001 12:00,국화꽃,1111-11535,1학년,법오 큰방(칸막이),15동 404호(칸막이),서암(평상)
3/11/2001 12:00,굿모닝,1111-11536,1학년,15동 401호(칸막이),서암(평상),법오 큰방(평상)
3/12/2001 12:00,귀공자,1111-11537,2학년,법오 작은방(평상),15동 401호(칸막이),서암(평상)
3/13/2001 12:00,귀족적,1111-11538,3학년,서암(평상),서암(평상),법오 골방(칸막이)
3/14/2001 12:00,그레이,1111-11539,1학년,15동 404호(칸막이),서암(평상),법오 골방(칸막이)
3/15/2001 12:00,그린비,1111-11540,2학년,법오 큰방(칸막이),법오 큰방(칸막이),국산(칸막이)
3/16/2001 12:00,그오빠,1111-11541,2학년,15동 404호(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
3/17/2001 12:00,극장판,1111-11542,2학년,15동 401호(칸막이),법오 작은방(평상),서암(평상)
3/18/2001 12:00,글러브,1111-11543,1학년,법오 큰방(칸막이),15동 401호(칸막이),15동 401호(칸막이)
3/19/2001 12:00,글로리,1111-11544,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 골방(칸막이)
3/20/2001 12:00,글로벌,1111-11545,2학년,법오 골방(칸막이),국산(칸막이),15동 404호(칸막이)
3/21/2001 12:00,금도끼,1111-11546,1학년,법오 작은방(평상),법오 큰방(칸막이),국산(칸막이)
3/22/2001 12:00,금메달,1111-11547,2학년,법오 골방(칸막이),15동 401호(칸막이),국산(칸막이)
3/23/2001 12:00,금붕어,1111-11548,1학년,15동 401호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
3/24/2001 12:00,금요일,1111-11549,1학년,법오 큰방(칸막이),법오 큰방(칸막이),법오 큰방(칸막이)
3/25/2001 12:00,긍정적,1111-11550,1학년,서암(평상),법오 큰방(칸막이),국산(칸막이)
3/26/2001 12:00,기념적,1111-11551,1학년,법오 큰방(평상),법오 큰방(평상),15동 404호(칸막이)
3/27/2001 12:00,기능적,1111-11552,2학년,국산(칸막이),15동 401호(칸막이),국산(칸막이)
3/28/2001 12:00,기댓값,1111-11553,2학년,15동 401호(칸막이),15동 401호(칸막이),국산(칸막이)
3/29/2001 12:00,기사단,1111-11554,1학년,법오 큰방(평상),법오 작은방(평상),서암(평상)
3/30/2001 12:00,기상청,1111-11555,1학년,15동 401호(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
3/31/2001 12:00,기저막,1111-11556,1학년,15동 401호(칸막이),법오 작은방(평상),15동 401호(칸막이)
4/1/2001 12:00,김유신,1111-11557,2학년,15동 404호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
4/2/2001 12:00,김칫국,1111-11558,3학년,15동 401호(칸막이),법오 골방(칸막이),국산(칸막이)
4/3/2001 12:00,까꿍이,1111-11559,1학년,법오 큰방(평상),법오 큰방(평상),법오 큰방(칸막이)
4/4/2001 12:00,까마귀,1111-11560,1학년,법오 작은방(평상),15동 401호(칸막이),법오 작은방(평상)
