타임스탬프,이메일 주소,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
7/9/2000 12:00,z8pcjn61u2@snu.ac.kr,한실코,1111-11291,3학년,역사관(평상),국산(칸막이),15동 404호(칸막이)
7/10/2000 12:00,3jqu0bm9w3@snu.ac.kr,박타디,1111-11292,3학년,15동 401호(칸막이),역사관(평상),법오 큰방(평상)
7/11/2000 12:00,62vff2h34b@snu.ac.kr,이흠믹,1111-11293,2학년,국산(칸막이),법오 골방(칸막이),국산(칸막이)
7/12/2000 12:00,01pbrvuoln@snu.ac.kr,문닝팡,1111-11294,1학년,법오 골방(칸막이),법오 골방(칸막이),법오 작은방(평상)
7/13/2000 12:00,tvfaa9bocp@snu.ac.kr,이바처,1111-11295,1학년,법오 골방(칸막이),역사관(평상),법오 큰방(칸막이)
7/14/2000 12:00,hbm90njgh9@snu.ac.kr,최던찹,1111-11296,3학년,역사관(평상),법오 큰방(평상),법오 큰방(칸막이)
7/15/2000 12:00,fwau7gjge6@snu.ac.kr,이츰찬,1111-11297,1학년,역사관(평상),15동 404호(칸막이),15동 401호(칸막이)
7/16/2000 12:00,sooxnxrx0j@snu.ac.kr,한톤구,1111-11298,3학년,법오 큰방(평상),법오 작은방(평상),15동 401호(칸막이)
7/17/2000 12:00,0clwozhc87@snu.ac.kr,이건틱,1111-11299,3학년,법오 큰방(평상),법오 큰방(평상),법오 큰방(칸막이)
7/18/2000 12:00,hu8nb5ng0j@snu.ac.kr,김엉칠,1111-11300,2학년,15동 404호(칸막이),역사관(평상),국산(칸막이)
7/19/2000 12:00,e4907ne5cl@snu.ac.kr,이벙팍,1111-11301,1학년,국산(칸막이),법오 큰방(평상),15동 401호(칸막이)
7/20/2000 12:00,wwtjgoco83@snu.ac.kr,김클난,1111-11302,1학년,법오 큰방(평상),15동 401호(평상),15동 404호(칸막이)
7/21/2000 12:00,pp3r0cnk57@snu.ac.kr,박너방,1111-11303,2학년,법오 작은방(평상),법오 큰방(평상),법오 큰방(칸막이)
7/22/2000 12:00,4gjhvetre4@snu.ac.kr,최늘릉,1111-11304,1학년,법오 골방(칸막이),법오 큰방(칸막이),역사관(평상)
7/23/2000 12:00,39u2trawlx@snu.ac.kr,강즘믐,1111-11305,1학년,법오 작은방(평상),법오 골방(칸막이),15동 401호(칸막이)
7/24/2000 12:00,jft9pa77zw@snu.ac.kr,한흠버,1111-11306,2학년,법오 골방(칸막이),15동 404호(칸막이),법오 작은방(평상)
7/25/2000 12:00,xedfdd5xc2@snu.ac.kr,한등츨,1111-11307,2학년,법오 작은방(평상),법오 큰방(칸막이),법오 큰방(평상)
7/26/2000 12:00,1u51fh4833@snu.ac.kr,박밀천,1111-11308,3학년,15동 404호(칸막이),15동 401호(평상),법오 골방(칸막이)
7/27/2000 12:00,kq3uv07p6l@snu.ac.kr,최팝픔,1111-11309,2학년,법오 큰방(칸막이),역사관(평상),법오 골방(칸막이)
7/28/2000 12:00,yve8m27j68@snu.ac.kr,최틸종,1111-11310,3학년,법오 큰방(칸막이),역사관(평상),15동 401호(칸막이)
7/29/2000 12:00,ft43ixoj6h@snu.ac.kr,한감잠,1111-11311,2학년,법오 작은방(평상),15동 401호(칸막이),법오 골방(칸막이)
7/30/2000 12:00,qlcg194k6n@snu.ac.kr,최먼호,1111-11312,졸업생,역사관(평상),15동 401호(칸막이),법오 작은방(평상)
7/31/2000 12:00,gsrqmi2kyo@snu.ac.kr,양칵치,1111-11313,3학년,법오 작은방(평상),법오 큰방(평상),법오 큰방(칸막이)
8/1/2000 12:00,y3z70pc1g0@snu.ac.kr,김빌톤,1111-11314,3학년,15동 404호(칸막이),국산(칸막이),15동 404호(칸막이)
8/2/2000 12:00,kbzg4z8wkc@snu.ac.kr,김도합,1111-11315,1학년,15동 404호(칸막이),법오 골방(칸막이),15동 404호(칸막이)
8/3/2000 12:00,ftjg33bhf4@snu.ac.kr,최막마,1111-11316,2학년,법오 큰방(칸막이),법오 큰방(평상),법오 작은방(평상)
8/4/2000 12:00,d9boulu3pr@snu.ac.kr,양초앗,1111-11317,3학년,15동 404호(칸막이),15동 401호(칸막이),법오 큰방(칸막이)
8/5/2000 12:00,83jn2gdc8j@snu.ac.kr,최탁한,1111-11318,1학년,법오 작은방(평상),법오 큰방(칸막이),15동 401호(칸막이)
8/6/2000 12:00,8f3pt2y649@snu.ac.kr,최엉퍼,1111-11319,1학년,법오 작은방(평상),15동 401호(칸막이),법오 큰방(평상)
8/7/2000 12:00,q65eoqsobe@snu.ac.kr,김빌살,1111-11320,3학년,국산(칸막이),법오 작은방(평상),법오 큰방(칸막이)
8/8/2000 12:00,lt62yle2r8@snu.ac.kr,양봉찹,1111-11321,2학년,국산(칸막이),법오 골방(칸막이),법오 골방(칸막이)
8/9/2000 12:00,hh6069o0km@snu.ac.kr,강닝갈,1111-11322,1학년,법오 큰방(평상),15동 404호(칸막이),법오 골방(칸막이)
8/10/2000 12:00,fvex1yslje@snu.ac.kr,이적서,1111-11323,1학년,법오 작은방(평상),국산(칸막이),국산(칸막이)
8/11/2000 12:00,98yyk5nu3g@snu.ac.kr,김늠익,1111-11324,2학년,법오 골방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
8/12/2000 12:00,tf9rfohpbv@snu.ac.kr,한닝커,1111-11325,3학년,국산(칸막이),법오 작은방(평상),법오 큰방(평상)
8/13/2000 12:00,8kbshyg8ao@snu.ac.kr,양할믹,1111-11326,2학년,역사관(평상),법오 큰방(칸막이),역사관(평상)
8/14/2000 12:00,90zj7dko2c@snu.ac.kr,박잠더,1111-11327,3학년,법오 큰방(평상),국산(칸막이),법오 골방(칸막이)
8/15/2000 12:00,aiqpwkud16@snu.ac.kr,최킥전,1111-11328,3학년,15동 404호(칸막이),국산(칸막이),법오 큰방(평상)
8/16/2000 12:00,ozsr75u9d2@snu.ac.kr,양로파,1111-11329,1학년,법오 큰방(평상),15동 404호(칸막이),법오 골방(칸막이)
8/17/2000 12:00,axod6o4wbh@snu.ac.kr,최직긱,1111-11330,1학년,법오 큰방(평상),법오 골방(칸막이),15동 404호(칸막이)
8/18/2000 12:00,7vs6e6ku4i@snu.ac.kr,강탑능,1111-11331,3학년,법오 큰방(평상),역사관(평상),법오 큰방(평상)
8/19/2000 12:00,jqerm32kie@snu.ac.kr,최푸시,1111-11332,3학년,역사관(평상),15동 404호(칸막이),법오 큰방(평상)
8/20/2000 12:00,k7d1v5q823@snu.ac.kr,이몽콩,1111-11333,2학년,국산(칸막이),법오 큰방(평상),법오 큰방(칸막이)
8/21/2000 12:00,k1xlqtr1o0@snu.ac.kr,김팔틸,1111-11334,2학년,국산(칸막이),15동 404호(칸막이),법오 작은방(평상)
8/22/2000 12:00,b2294ee8wx@snu.ac.kr,박갈캇,1111-11335,3학년,법오 큰방(평상),법오 작은방(평상),15동 404호(칸막이)
8/23/2000 12:00,nlf27b16b2@snu.ac.kr,박일버,1111-11336,3학년,법오 큰방(평상),15동 401호(칸막이),법오 큰방(칸막이)
8/24/2000 12:00,gx16ou9qzc@snu.ac.kr,양픽탕,1111-11337,2학년,역사관(평상),법오 큰방(칸막이),국산(칸막이)
8/25/2000 12:00,mqbbm5g2u3@snu.ac.kr,강민실,1111-11338,3학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
8/26/2000 12:00,5utcmowrzi@snu.ac.kr,한득븡,1111-11339,2학년,15동 401호(칸막이),법오 작은방(평상),국산(칸막이)
8/27/2000 12:00,otq13dqk39@snu.ac.kr,양팍산,1111-11340,2학년,역사관(평상),국산(칸막이),15동 401호(칸막이)
8/28/2000 12:00,7vsylnmck3@snu.ac.kr,최맛탐,1111-11341,1학년,법오 골방(칸막이),15동 401호(칸막이),15동 401호(칸막이)
8/29/2000 12:00,kmpzrnunu8@snu.ac.kr,한펀리,1111-11342,2학년,국산(칸막이),국산(칸막이),법오 큰방(평상)
8/30/2000 12:00,c5lx317yws@snu.ac.kr,김잉멀,1111-11343,1학년,법오 작은방(평상),15동 401호(칸막이),법오 큰방(칸막이)
8/31/2000 12:00,xpnhc6oqau@snu.ac.kr,최킬턱,1111-11344,2학년,15동 401호(평상),역사관(평상),15동 401호(칸막이)
9/1/2000 12:00,db055upos5@snu.ac.kr,이잘즌,1111-11345,1학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(평상)
9/2/2000 12:00,vlz876axi7@snu.ac.kr,박잘칭,1111-11346,3학년,국산(칸막이),법오 큰방(평상),국산(칸막이)
9/3/2000 12:00,2gkmwbp1rf@snu.ac.kr,한악랑,1111-11347,1학년,법오 큰방(칸막이),법오 작은방(평상),국산(칸막이)
9/4/2000 12:00,64v41ma7ek@snu.ac.kr,최총부,1111-11348,1학년,15동 401호(칸막이),역사관(평상),법오 큰방(칸막이)
9/5/2000 12:00,zt1mgezark@snu.ac.kr,이팍찬,1111-11349,3학년,역사관(평상),법오 골방(칸막이),15동 404호(칸막이)
9/6/2000 12:00,mhwdbpu383@snu.ac.kr,최힝칠,1111-11350,1학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
9/7/2000 12:00,d95ga8p19n@snu.ac.kr,최슨등,1111-11351,2학년,법오 작은방(평상),법오 큰방(평상),국산(칸막이)
9/8/2000 12:00,r45f2bbysk@snu.ac.kr,강초답,1111-11352,2학년,법오 골방(칸막이),국산(칸막이),15동 401호(칸막이)
9/9/2000 12:00,v72stujzni@snu.ac.kr,이늘름,1111-11353,3학년,법오 큰방(칸막이),역사관(평상),15동 404호(칸막이)
9/10/2000 12:00,t8od7hnpph@snu.ac.kr,최넌븜,1111-11354,1학년,법오 큰방(칸막이),국산(칸막이),역사관(평상)
9/11/2000 12:00,zcjv0ysj1u@snu.ac.kr,문공름,1111-11355,3학년,역사관(평상),국산(칸막이),15동 404호(칸막이)
9/12/2000 12:00,exur6hd6on@snu.ac.kr,최랑승,1111-11356,3학년,법오 큰방(칸막이),법오 골방(칸막이),15동 404호(칸막이)
9/13/2000 12:00,mwirhbrzxr@snu.ac.kr,양늘안,1111-11357,3학년,15동 404호(칸막이),법오 골방(칸막이),15동 404호(칸막이)
9/14/2000 12:00,qxj987oqlw@snu.ac.kr,최듬랍,1111-11358,3학년,국산(칸막이),15동 401호(칸막이),국산(칸막이)
9/15/2000 12:00,ggyrehn57q@snu.ac.kr,한러딕,1111-11359,2학년,법오 큰방(칸막이),15동 401호(칸막이),법오 골방(칸막이)
9/16/2000 12:00,ecnspya7zz@snu.ac.kr,김펄딜,1111-11360,3학년,법오 큰방(평상),법오 작은방(평상),15동 401호(칸막이)
9/17/2000 12:00,lb3brntyph@snu.ac.kr,최털헝,1111-11361,3학년,국산(칸막이),법오 골방(칸막이),15동 401호(칸막이)
9/18/2000 12:00,yryycyuw8e@snu.ac.kr,강포각,1111-11362,3학년,국산(칸막이),15동 401호(칸막이),법오 큰방(평상)
9/19/2000 12:00,y3sxs9gudr@snu.ac.kr,박삭산,1111-11363,1학년,법오 골방(칸막이),법오 작은방(평상),역사관(평상)
9/20/2000 12:00,4a3eer909v@snu.ac.kr,박널캄,1111-11364,1학년,법오 큰방(칸막이),법오 골방(칸막이),15동 401호(칸막이)
9/21/2000 12:00,w8b6d4xkbt@snu.ac.kr,이누멍,1111-11365,2학년,법오 작은방(평상),법오 골방(칸막이),법오 큰방(칸막이)
9/22/2000 12:00,29tgp5wvri@snu.ac.kr,양는을,1111-11366,2학년,법오 큰방(평상),법오 작은방(평상),15동 404호(칸막이)
9/23/2000 12:00,jzsylqd816@snu.ac.kr,이망모,1111-11367,1학년,15동 401호(칸막이),법오 큰방(평상),15동 404호(칸막이)
9/24/2000 12:00,5gr6yv8bgj@snu.ac.kr,한버논,1111-11368,3학년,국산(칸막이),법오 큰방(평상),15동 401호(칸막이)
9/25/2000 12:00,gu81wnny7x@snu.ac.kr,박펀낙,1111-11369,2학년,법오 큰방(평상),법오 작은방(평상),법오 큰방(칸막이)
9/26/2000 12:00,76efo2etv4@snu.ac.kr,한찰른,1111-11370,2학년,법오 큰방(칸막이),법오 작은방(평상),15동 401호(칸막이)
9/27/2000 12:00,w0ua7waawa@snu.ac.kr,문덩클,1111-11371,1학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(평상)
9/28/2000 12:00,cyc9ookxnx@snu.ac.kr,김응긍,1111-11372,3학년,15동 401호(칸막이),15동 401호(칸막이),15동 404호(칸막이)
9/29/2000 12:00,bgsrm7xrem@snu.ac.kr,문할성,1111-11373,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 골방(칸막이)
9/30/2000 12:00,fp32oohdoq@snu.ac.kr,한조틈,1111-11374,2학년,국산(칸막이),15동 404호(칸막이),15동 401호(칸막이)
10/1/2000 12:00,bodvqw0zwt@snu.ac.kr,양랄근,1111-11375,2학년,국산(칸막이),법오 큰방(평상),법오 큰방(평상)
10/2/2000 12:00,bw3ai36z0n@snu.ac.kr,김펑잉,1111-11376,1학년,15동 401호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
10/3/2000 12:00,teetar8chh@snu.ac.kr,문걱벅,1111-11377,3학년,국산(칸막이),법오 큰방(칸막이),법오 큰방(평상)
10/4/2000 12:00,dk97wpdn78@snu.ac.kr,박석한,1111-11378,2학년,법오 큰방(평상),국산(칸막이),15동 401호(칸막이)
10/5/2000 12:00,oz6f2uzvhp@snu.ac.kr,한밥폰,1111-11379,1학년,국산(칸막이),국산(칸막이),15동 401호(칸막이)
10/6/2000 12:00,t5gk05riqx@snu.ac.kr,최루당,1111-11380,1학년,법오 큰방(평상),국산(칸막이),법오 큰방(평상)
10/7/2000 12:00,nmmyklqvg7@snu.ac.kr,한주한,1111-11381,1학년,15동 404호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
10/8/2000 12:00,kr2m643ra9@snu.ac.kr,강컬날,1111-11382,수료생,법오 작은방(평상),법오 큰방(평상),법오 큰방(평상)
10/9/2000 12:00,v2hq7n5t26@snu.ac.kr,최런로,1111-11383,1학년,국산(칸막이),15동 404호(칸막이),15동 401호(평상)
10/10/2000 12:00,iv45gicgjm@snu.ac.kr,박판진,1111-11384,1학년,법오 골방(칸막이),국산(칸막이),역사관(평상)
10/11/2000 12:00,3a73kq6f5n@snu.ac.kr,양즉닷,1111-11385,3학년,법오 큰방(평상),법오 골방(칸막이),법오 골방(칸막이)
10/12/2000 12:00,90tgxj18cg@snu.ac.kr,문논탁,1111-11386,1학년,법오 큰방(평상),법오 골방(칸막이),법오 작은방(평상)
10/13/2000 12:00,udsk8crn0t@snu.ac.kr,문을른,1111-11387,1학년,역사관(평상),법오 큰방(칸막이),법오 골방(칸막이)
10/14/2000 12:00,0jzxiobbe5@snu.ac.kr,박클답,1111-11388,2학년,법오 큰방(칸막이),법오 큰방(칸막이),법오 골방(칸막이)
10/15/2000 12:00,8xgds5nxpu@snu.ac.kr,박억갓,1111-11389,2학년,15동 401호(칸막이),국산(칸막이),법오 큰방(칸막이)
10/16/2000 12:00,6pkpqtjied@snu.ac.kr,김익억,1111-11390,1학년,역사관(평상),법오 큰방(칸막이),15동 401호(칸막이)
10/17/2000 12:00,n8098bqbyy@snu.ac.kr,김방우,1111-11391,1학년,법오 큰방(칸막이),역사관(평상),국산(칸막이)
10/18/2000 12:00,qo7sat64xr@snu.ac.kr,한창어,1111-11392,1학년,법오 작은방(평상),법오 큰방(칸막이),법오 큰방(칸막이)
10/19/2000 12:00,ftrkju5dsb@snu.ac.kr,김벌석,1111-11393,1학년,법오 큰방(칸막이),법오 큰방(평상),15동 401호(칸막이)
10/20/2000 12:00,veg35l4p73@snu.ac.kr,한벙수,1111-11394,3학년,15동 401호(칸막이),15동 401호(칸막이),역사관(평상)
10/21/2000 12:00,bgghd56x87@snu.ac.kr,이카캇,1111-11395,2학년,15동 401호(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
10/22/2000 12:00,1khaw9tauf@snu.ac.kr,양징일,1111-11396,1학년,역사관(평상),15동 401호(평상),국산(칸막이)
10/23/2000 12:00,u4x4vhjghz@snu.ac.kr,최벌길,1111-11397,1학년,국산(칸막이),법오 골방(칸막이),역사관(평상)
10/24/2000 12:00,vw618mfnde@snu.ac.kr,최잡컹,1111-11398,1학년,법오 큰방(평상),15동 404호(칸막이),역사관(평상)
10/25/2000 12:00,frns47n0aw@snu.ac.kr,문도니,1111-11399,2학년,법오 작은방(평상),15동 401호(칸막이),역사관(평상)
10/26/2000 12:00,74ema3bzrz@snu.ac.kr,강헝망,1111-11400,2학년,역사관(평상),15동 404호(칸막이),법오 작은방(평상)
10/27/2000 12:00,u2uhfa2579@snu.ac.kr,박릉등,1111-11401,2학년,법오 큰방(평상),법오 큰방(평상),법오 작은방(평상)
10/28/2000 12:00,kjmqcr6vwg@snu.ac.kr,김몽난,1111-11402,1학년,법오 큰방(평상),법오 큰방(칸막이),법오 작은방(평상)
10/29/2000 12:00,yaznhftg76@snu.ac.kr,박닝팟,1111-11403,3학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(평상)
10/30/2000 12:00,u9xgi2nvju@snu.ac.kr,김도투,1111-11404,2학년,15동 404호(칸막이),역사관(평상),국산(칸막이)
10/31/2000 12:00,2jnex9sqwn@snu.ac.kr,최렁번,1111-11405,1학년,15동 401호(평상),역사관(평상),법오 큰방(평상)
11/1/2000 12:00,vxwssk3fbw@snu.ac.kr,최닷논,1111-11406,1학년,15동 404호(칸막이),법오 큰방(평상),법오 작은방(평상)
11/2/2000 12:00,qi5k7cehql@snu.ac.kr,양빈픽,1111-11407,1학년,법오 큰방(평상),법오 큰방(칸막이),15동 401호(칸막이)
11/3/2000 12:00,cvgy6wzrc8@snu.ac.kr,박삭억,1111-11408,1학년,법오 작은방(평상),법오 큰방(칸막이),국산(칸막이)
11/4/2000 12:00,ep5x72icdg@snu.ac.kr,양킨노,1111-11409,1학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
11/5/2000 12:00,izvkfnyhnt@snu.ac.kr,양마걱,1111-11410,1학년,국산(칸막이),법오 골방(칸막이),15동 401호(칸막이)
11/6/2000 12:00,zl6migpqes@snu.ac.kr,박몽딩,1111-11411,2학년,법오 큰방(칸막이),15동 401호(칸막이),15동 404호(칸막이)
11/7/2000 12:00,b9n260y7yx@snu.ac.kr,김히본,1111-11412,1학년,법오 큰방(평상),법오 골방(칸막이),국산(칸막이)
11/8/2000 12:00,uko9mx48p9@snu.ac.kr,김넉진,1111-11413,1학년,법오 큰방(칸막이),법오 큰방(평상),법오 작은방(평상)
11/9/2000 12:00,fwiwb4j2i1@snu.ac.kr,한닝틈,1111-11414,2학년,국산(칸막이),법오 골방(칸막이),역사관(평상)
11/10/2000 12:00,bik2yu7475@snu.ac.kr,박서랍,1111-11415,2학년,역사관(평상),법오 큰방(평상),15동 401호(칸막이)
11/11/2000 12:00,opsf81xruf@snu.ac.kr,최너반,1111-11416,1학년,역사관(평상),법오 골방(칸막이),국산(칸막이)
11/12/2000 12:00,1zgr9fhmbo@snu.ac.kr,박밍캉,1111-11417,2학년,역사관(평상),15동 401호(칸막이),법오 골방(칸막이)
11/13/2000 12:00,dkm2y84agg@snu.ac.kr,이참란,1111-11418,2학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
11/14/2000 12:00,vxsxa8v64l@snu.ac.kr,박듬푸,1111-11419,3학년,15동 404호(칸막이),역사관(평상),법오 큰방(평상)
11/15/2000 12:00,6ujb8digms@snu.ac.kr,한측산,1111-11420,1학년,법오 골방(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
11/16/2000 12:00,eyzuyei8ws@snu.ac.kr,양슨박,1111-11421,1학년,법오 큰방(평상),법오 작은방(평상),역사관(평상)
11/17/2000 12:00,8uz0p1gy5z@snu.ac.kr,김믄맘,1111-11422,1학년,법오 큰방(평상),역사관(평상),역사관(평상)
11/18/2000 12:00,wy0mc1qnnb@snu.ac.kr,이번론,1111-11423,1학년,법오 큰방(칸막이),역사관(평상),15동 404호(칸막이)
11/19/2000 12:00,izgsq5otlb@snu.ac.kr,문공가,1111-11424,1학년,법오 작은방(평상),국산(칸막이),법오 큰방(평상)
11/20/2000 12:00,x2j10thmeo@snu.ac.kr,강잉틍,1111-11425,3학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(칸막이)
11/21/2000 12:00,vvb83wujxl@snu.ac.kr,문펄텅,1111-11426,3학년,15동 404호(칸막이),15동 401호(평상),법오 큰방(칸막이)
11/22/2000 12:00,fxkrj149uh@snu.ac.kr,강종흑,1111-11427,2학년,법오 큰방(칸막이),법오 큰방(평상),법오 큰방(평상)
11/23/2000 12:00,uxpy3zq625@snu.ac.kr,최암루,1111-11428,3학년,국산(칸막이),법오 골방(칸막이),15동 401호(칸막이)
11/24/2000 12:00,f7epczrvaw@snu.ac.kr,문흠벙,1111-11429,1학년,국산(칸막이),법오 큰방(칸막이),법오 작은방(평상)
11/25/2000 12:00,yqm1uzzlqq@snu.ac.kr,양삼항,1111-11430,1학년,법오 큰방(칸막이),국산(칸막이),15동 401호(칸막이)
11/26/2000 12:00,ghg0j9ici3@snu.ac.kr,김픈팟,1111-11431,3학년,법오 큰방(칸막이),역사관(평상),법오 작은방(평상)
11/27/2000 12:00,7dryxro521@snu.ac.kr,최긍신,1111-11432,2학년,법오 큰방(칸막이),역사관(평상),15동 404호(칸막이)
11/28/2000 12:00,oklenlpxhk@snu.ac.kr,최밥합,1111-11433,3학년,법오 작은방(평상),법오 큰방(평상),법오 골방(칸막이)
11/29/2000 12:00,tu74s9vqv1@snu.ac.kr,김판핀,1111-11434,3학년,법오 큰방(평상),법오 작은방(평상),국산(칸막이)
11/30/2000 12:00,ao790x9gft@snu.ac.kr,양튼선,1111-11435,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(칸막이)
12/1/2000 12:00,w10y4e3drs@snu.ac.kr,이밥킬,1111-11436,2학년,법오 큰방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
12/2/2000 12:00,myih1qm494@snu.ac.kr,한핀겅,1111-11437,3학년,역사관(평상),15동 401호(칸막이),15동 401호(칸막이)
12/3/2000 12:00,n9ncjuze4x@snu.ac.kr,이적타,1111-11438,3학년,15동 401호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
12/4/2000 12:00,13zfsjaipm@snu.ac.kr,문딩막,1111-11439,2학년,법오 작은방(평상),법오 큰방(평상),국산(칸막이)
12/5/2000 12:00,rxyr0285o2@snu.ac.kr,최킬알,1111-11440,2학년,국산(칸막이),법오 큰방(칸막이),법오 작은방(평상)
12/6/2000 12:00,alurg0gvfb@snu.ac.kr,문비처,1111-11441,1학년,15동 404호(칸막이),역사관(평상),법오 큰방(평상)
12/7/2000 12:00,xaximkres6@snu.ac.kr,양안필,1111-11442,1학년,15동 404호(칸막이),역사관(평상),법오 큰방(평상)
12/8/2000 12:00,2vl2pnvub2@snu.ac.kr,박슥홍,1111-11443,1학년,법오 큰방(칸막이),역사관(평상),법오 골방(칸막이)
12/9/2000 12:00,thfquesl5s@snu.ac.kr,최킁람,1111-11444,3학년,법오 큰방(평상),법오 큰방(평상),국산(칸막이)
12/10/2000 12:00,v9gk2e7d7i@snu.ac.kr,양남픽,1111-11445,3학년,법오 큰방(평상),15동 401호(평상),15동 404호(칸막이)
12/11/2000 12:00,w8adg365nl@snu.ac.kr,박킹지,1111-11446,1학년,법오 큰방(평상),15동 401호(칸막이),국산(칸막이)
12/12/2000 12:00,pvzwrksxz2@snu.ac.kr,이능선,1111-11447,1학년,법오 큰방(평상),국산(칸막이),15동 404호(칸막이)
12/13/2000 12:00,4yuwyocvoy@snu.ac.kr,최츰빌,1111-11448,1학년,15동 401호(칸막이),법오 큰방(평상),법오 골방(칸막이)
12/14/2000 12:00,dgt9trh50e@snu.ac.kr,양든암,1111-11449,3학년,법오 큰방(칸막이),국산(칸막이),국산(칸막이)
12/15/2000 12:00,d9ryg6djok@snu.ac.kr,이탓작,1111-11450,2학년,15동 401호(칸막이),법오 골방(칸막이),15동 404호(칸막이)
12/16/2000 12:00,w95rep1iow@snu.ac.kr,문질착,1111-11451,1학년,15동 404호(칸막이),역사관(평상),법오 큰방(칸막이)
12/17/2000 12:00,oq7s39qubz@snu.ac.kr,한큰엉,1111-11452,1학년,법오 작은방(평상),법오 큰방(칸막이),법오 큰방(평상)
12/18/2000 12:00,47058kwcgt@snu.ac.kr,박동홍,1111-11453,3학년,법오 큰방(평상),법오 큰방(평상),법오 골방(칸막이)
12/19/2000 12:00,y3d8yemtax@snu.ac.kr,이카득,1111-11454,3학년,법오 작은방(평상),15동 404호(칸막이),법오 골방(칸막이)
12/20/2000 12:00,pdoq2m9wj8@snu.ac.kr,이얼음,1111-11455,2학년,법오 큰방(평상),15동 404호(칸막이),15동 401호(평상)
12/21/2000 12:00,j1ihepssau@snu.ac.kr,이를칵,1111-11456,3학년,15동 404호(칸막이),법오 골방(칸막이),역사관(평상)
12/22/2000 12:00,ern728drxc@snu.ac.kr,강탕틍,1111-11457,1학년,15동 401호(칸막이),법오 큰방(평상),법오 큰방(평상)
12/23/2000 12:00,vxuuv49ij6@snu.ac.kr,최치기,1111-11458,1학년,국산(칸막이),15동 404호(칸막이),법오 골방(칸막이)
12/24/2000 12:00,40uajzro49@snu.ac.kr,최츨흥,1111-11459,3학년,역사관(평상),법오 작은방(평상),법오 큰방(칸막이)
12/25/2000 12:00,8e29jalj0q@snu.ac.kr,최흠진,1111-11460,1학년,국산(칸막이),법오 큰방(칸막이),법오 작은방(평상)
12/26/2000 12:00,5mc4s3njf6@snu.ac.kr,가공업,1111-11461,1학년,15동 401호(평상),법오 큰방(칸막이),법오 큰방(평상)
12/27/2000 12:00,dqb9t91dw7@snu.ac.kr,가랑비,1111-11462,1학년,국산(칸막이),역사관(평상),15동 404호(칸막이)
12/28/2000 12:00,y94jwkun5z@snu.ac.kr,가래떡,1111-11463,2학년,법오 작은방(평상),15동 401호(평상),15동 404호(칸막이)
12/29/2000 12:00,t1rwywq5jb@snu.ac.kr,가로등,1111-11464,3학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(평상)
12/30/2000 12:00,f12hhi7zwj@snu.ac.kr,가로수,1111-11465,3학년,15동 404호(칸막이),역사관(평상),법오 골방(칸막이)
12/31/2000 12:00,0oklh3tvtp@snu.ac.kr,가솔린,1111-11466,2학년,법오 골방(칸막이),법오 골방(칸막이),역사관(평상)
1/1/2001 12:00,o19fyjvvne@snu.ac.kr,가우스,1111-11467,2학년,법오 큰방(평상),역사관(평상),국산(칸막이)
1/2/2001 12:00,95mkcdncck@snu.ac.kr,가이아,1111-11468,3학년,법오 큰방(평상),법오 골방(칸막이),법오 큰방(평상)
1/3/2001 12:00,2iqrfb3139@snu.ac.kr,가정부,1111-11469,2학년,15동 401호(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/4/2001 12:00,bs5pr483uo@snu.ac.kr,가타카,1111-11470,1학년,법오 골방(칸막이),15동 401호(칸막이),국산(칸막이)
1/5/2001 12:00,06brm2dja1@snu.ac.kr,각설탕,1111-11471,2학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(평상)
1/6/2001 12:00,wx2boxh21v@snu.ac.kr,간접적,1111-11472,2학년,법오 큰방(평상),법오 작은방(평상),15동 404호(칸막이)
1/7/2001 12:00,chq4ydhz7j@snu.ac.kr,간지남,1111-11473,2학년,법오 골방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
